address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
Al ghadeer Northern Ring Road, Riyadh 11543 Saudi Arabia,Riyadh,", Indian, Vegan Options, Halal", Indian,"Al ghadeer Northern Ring Road, Riyadh 11543 Saudi Arabia",25,Closed Now:See all hours,18 of 69 Indian in Riyadh,966 9200 01196, 55 -  68, Amaly,4.0 
Omar Al Mukhtar, Riyadh Saudi Arabia,Riyadh,"  , Indian, Asian, Vegan Options", Indian,"Omar Al Mukhtar, Riyadh Saudi Arabia",64,+ Add hours,19 of 69 Indian in Riyadh,,, Paragon,3.5 
6927 Prince Turki Ibn Abdulaziz Al Awwal Road Hittin, Riyadh 13512 Saudi Arabia,Riyadh,", Italian, European, Vegetarian Friendly", Italian,"6927 Prince Turki Ibn Abdulaziz Al Awwal Road Hittin, Riyadh 13512 Saudi Arabia",40,Closed Now:See all hours,25 of 97 Italian in Riyadh,966 11 277 6700," 300 -  2,000", Cipriani,4.0 
Al Ahmadi St, Riyadh 12478 Saudi Arabia,Riyadh,"  , Italian, Cafe", Italian,"Al Ahmadi St, Riyadh 12478 Saudi Arabia",28,Open Now:See all hours,12 of 20 Dessert in Riyadh,966 55 623 9385,, Cioccolat Italiani,4.0 
Olaya Street Al Ulayah Al Sharqeyah, Riyadh Saudi Arabia,Riyadh,"  , Chinese, Asian, Vegetarian Friendly", Chinese,"Olaya Street Al Ulayah Al Sharqeyah, Riyadh Saudi Arabia",30,+ Add hours,13 of 37 Chinese in Riyadh,,, Golden Dragon Chinese Restaurant,4.0 
Said Al Mutawa St with prince Turki Al Awwal, Riyadh Saudi Arabia,Riyadh,"  , French", French,"Said Al Mutawa St with prince Turki Al Awwal, Riyadh Saudi Arabia",12,Open Now:7:00 AM - 12:00 AM,13 of 38 French in Riyadh,966 11 234 8330, 75 -  188, Le Grenier a Pain,4.5 
King Fahd Road Opposite Ministry of Interior, Riyadh 11493 Saudi Arabia,Riyadh,", Lebanese, Middle Eastern", Lebanese,"King Fahd Road Opposite Ministry of Interior, Riyadh 11493 Saudi Arabia",21,Closed Now:See all hours,15 of 47 Lebanese in Riyadh,966 11 457 9999,, Naya Modern Lebanese Cuisine,4.0 
Olaya Street, Riyadh Saudi Arabia,Riyadh,"  , Seafood, Halal", Seafood,"Olaya Street, Riyadh Saudi Arabia",30,Closed Now:See all hours,9 of 32 Seafood in Riyadh,966 1 4614437,, Golden Lobster,4.0 
Main Olaya St Babtain Bldg. No: 5, Riyadh Saudi Arabia,Riyadh,"  , Indian, Asian, Middle Eastern", Indian,"Main Olaya St Babtain Bldg. No: 5, Riyadh Saudi Arabia",49,Closed Now:See all hours,20 of 69 Indian in Riyadh,(966) 1-217-6644,, Red Onion,3.5 
Anas Bin Malik Road, Riyadh Saudi Arabia,Riyadh,"  , Asian, Chinese, Vegetarian Friendly", Asian,"Anas Bin Malik Road, Riyadh Saudi Arabia",18,+ Add hours,14 of 37 Chinese in Riyadh,,, Maharaja Palace,4.5 
King Abdulaziz, Riyadh Saudi Arabia,Riyadh,"  , Seafood, Halal", Seafood,"King Abdulaziz, Riyadh Saudi Arabia",74,+ Add hours,10 of 32 Seafood in Riyadh,, 38 -  56, Nafoorah Seafood,3.5 
Tahlia Street, Near Al Araba Petrol Pump,Riyadh,"  , Halal", Halal,"Tahlia Street, Near Al Araba Petrol Pump, Olaya District, Riyadh Saudi Arabia",96,Opens in 13 min:See all hours,168 of 849 Restaurants in Riyadh,4661133,, Sizzler House,3.5 
Tahlia st, Riyadh Saudi Arabia,Riyadh,"  , American, Southwestern", American,"Tahlia st, Riyadh Saudi Arabia",177,+ Add hours,29 of 100 American in Riyadh,,, Chili's,3.5 
Al-Taheliah St. crossing Al-Dhabab St., Riyadh Saudi Arabia,Riyadh,"  , Indian, Asian, Vegetarian Friendly", Indian,"Al-Taheliah St. crossing Al-Dhabab St., Riyadh Saudi Arabia",95,+ Add hours,21 of 69 Indian in Riyadh,966 11 416 7000,, Copper Chandni,3.5 
Al Wast Commercial Center Complex No : 100, Riyadh 45000 Saudi Arabia,Riyadh,", Indian, Grill, Middle Eastern", Indian,"Al Wast Commercial Center Complex No : 100, Riyadh 45000 Saudi Arabia",8,Opens in 13 min:See all hours,22 of 69 Indian in Riyadh,966 55 170 7788,, Grill n Rice Restaurant,5.0 
Tahlia Street, Riyadh 11393 Saudi Arabia,Riyadh,"  , Italian, International, Vegetarian Friendly", Italian,"Tahlia Street, Riyadh 11393 Saudi Arabia",60,Opens in 13 min:See all hours,27 of 97 Italian in Riyadh,966 11 201 6662, 75 -  94, Nino,4.0 
Mohammad Bin Abdul Aziz Street Tahlia Street, Riyadh 12571 8029 Saudi Arabia,Riyadh,"  , American, Fast Food, Diner", American,"Mohammad Bin Abdul Aziz Street Tahlia Street, Riyadh 12571 8029 Saudi Arabia",95,+ Add hours,30 of 100 American in Riyadh,966 11 201 6667,, Johnny Rockets,3.5 
Ring Road Exit 24, Riyadh Saudi Arabia,Riyadh,"  , Fast Food", Fast Food,"Ring Road Exit 24, Riyadh Saudi Arabia",44,+ Add hours,21 of 84 Fast Food in Riyadh,011920006999,, Kudu,4.0 
Al-Tahlia Street, Riyadh Saudi Arabia,Riyadh,"  , Japanese, Sushi, Asian", Japanese,"Al-Tahlia Street, Riyadh Saudi Arabia",32,Open Now:See all hours,15 of 27 Japanese in Riyadh,966 53 244 4452,, Agus,4.0 
3607 Prince Mohammed Bin Abdulaziz Street King Fahad Road, Riyadh 12313 Saudi Arabia,Riyadh,", Steakhouse, International, American", Steakhouse,"3607 Prince Mohammed Bin Abdulaziz Street King Fahad Road, Riyadh 12313 Saudi Arabia",36,Open Now:See all hours,31 of 100 American in Riyadh,966 11 217 0088, 50 -  90, Porterhouse,4.0 
47 Alamir Mamdouh Bin Abdulaziz St. As sulaymaniyah, Riyadh Saudi Arabia,Riyadh,"  , Indian, Asian, Vegan Options", Indian,"47 Alamir Mamdouh Bin Abdulaziz St. As sulaymaniyah, Riyadh Saudi Arabia",79,+ Add hours,23 of 69 Indian in Riyadh,966 11 217 7838,, Makani Indian Cuisine,3.5 
Mosaad Alankry Street Suliemaniah, Riyadh Saudi Arabia,Riyadh,"  , American, Steakhouse, Halal", American,"Mosaad Alankry Street Suliemaniah, Riyadh Saudi Arabia",99,Closed Now:See all hours,32 of 100 American in Riyadh,966 11 465 3094,, Steaky,3.5 
Riyadh Saudi Arabia,,Riyadh,"Eastern European, Armenian", Armenian,Riyadh Saudi Arabia,11,+ Add hours,1 of 3 Eastern European in Riyadh,966 54 960 2222,, Maward Restaurant,4.5 
3990 Anas Bin Malik Road, Riyadh 13524 Saudi Arabia,Riyadh,", Moroccan, Mediterranean, Vegetarian Friendly", Moroccan,"3990 Anas Bin Malik Road, Riyadh 13524 Saudi Arabia",20,Closed Now:See all hours,4 of 6 Moroccan in Riyadh,9665596414141, 5 -  30, Menara Lounge & Restaurant,4.5 
Al 7544 7766 Uthman Ibn Affan Road, Riyadh 133174233 Saudi Arabia,Riyadh,"  , Fast Food", Fast Food,"Al 7544 7766 Uthman Ibn Affan Road, Riyadh 133174233 Saudi Arabia",26,+ Add hours,22 of 84 Fast Food in Riyadh,966 11 218 1000,, Burgeronomy,4.0 
8494 King Abdul Aziz Road al Ghadir area, Riyadh 133114230 Saudi Arabia,Riyadh,"  , Italian, Pizza, Vegetarian Friendly", Italian,"8494 King Abdul Aziz Road al Ghadir area, Riyadh 133114230 Saudi Arabia",42,+ Add hours,28 of 97 Italian in Riyadh,,, Romano's Macaroni Grill,4.0 
Moosa Bin Nusair Street X, Riyadh 00966 Saudi Arabia,Riyadh,"  , Steakhouse, European", Steakhouse,"Moosa Bin Nusair Street X, Riyadh 00966 Saudi Arabia",31,+ Add hours,21 of 33 Steakhouse in Riyadh,966 11 464 0060,, Gala Steak Inn,4.0 
8023 Prince Ahmad Ibn Abdulaziz, Riyadh 12254 Saudi Arabia,Riyadh,", Cafe", Cafe,"8023 Prince Ahmad Ibn Abdulaziz, Riyadh 12254 Saudi Arabia",14,Open Now:See all hours,24 of 97 Cafe in Riyadh,966 55 577 3450, 6 -  400, Delish Bakery مخبز ديلش,4.5 
Alia Plaza, Ath Thumamh Rd,Riyadh,"  , Vegetarian Friendly", Vegetarian Friendly,"Alia Plaza, Ath Thumamh Rd, Riyadh 13316 Saudi Arabia",27,Open Now:See all hours,190 of 849 Restaurants in Riyadh,966 11 510 7913,, Ihop,4.0 
21A Floor, Al Faisaliah Tower,Riyadh,", Halal", Halal,"21A Floor, Al Faisaliah Tower, King Fahad Road, Riyadh 11321 Saudi Arabia",85,Closed Now:See all hours,191 of 849 Restaurants in Riyadh,966 59 265 7697, 128 -  369, L'Entrecote Cafe de Paris,3.5 
Prince Muhammad Bin Abdulaziz Rd,,Riyadh,", Italian", Italian,"Prince Muhammad Bin Abdulaziz Rd,, Riyadh Saudi Arabia",17,+ Add hours,29 of 97 Italian in Riyadh,, 16 -  28, La Casa Pasta,4.0 
8006 King Abdul Aziz Rd, Ar Rabi Riyadh 13315,Riyadh,", Cafe", Cafe,"8006 King Abdul Aziz Rd, Ar Rabi Riyadh 13315, Riyadh 13315 Saudi Arabia",13,Open Now:6:00 AM - 12:00 AM,27 of 97 Cafe in Riyadh,, 7 -  30, RECIPE Cafe,4.5 
4 Al Kairawani Street, Riyadh Saudi Arabia,Riyadh,"  , French, International, Fusion", French,"4 Al Kairawani Street, Riyadh Saudi Arabia",27,+ Add hours,14 of 38 French in Riyadh,96614791234,, Brasserie,4.5 
King Abdul Aziz Rd., Riyadh 13312 Saudi Arabia,Riyadh,"  , Italian, Pizza", Italian,"King Abdul Aziz Rd., Riyadh 13312 Saudi Arabia",22,+ Add hours,30 of 97 Italian in Riyadh,,, Ristorante Pizzeria Il Fornaretto,4.5 
9096 Al Ulaya,,Riyadh,", Japanese, Sushi, Asian", Japanese,"9096 Al Ulaya,, Riyadh 11616 Saudi Arabia",15,Closed Now:See all hours,16 of 27 Japanese in Riyadh,966 11 297 5799, 40 -  300, Sushi Centro - Centro Waha,4.0 
7116 Jabbir bin Abdullah St,,Riyadh,"  , Cafe, International", Cafe,"7116 Jabbir bin Abdullah St,, Riyadh 11554 Saudi Arabia",25,+ Add hours,28 of 97 Cafe in Riyadh,966 11 440 0024,, Bistro by Tao,4.0 
Al Dain Road Exit 16, Riyadh Saudi Arabia,Riyadh,"  , American", American,"Al Dain Road Exit 16, Riyadh Saudi Arabia",28,+ Add hours,34 of 100 American in Riyadh,(966)1-270-9931,, Applebee's Rimal Center,4.0 
Khuris Road, Riyadh Saudi Arabia,Riyadh,"  , Italian, American, International", Italian,"Khuris Road, Riyadh Saudi Arabia",9,+ Add hours,31 of 97 Italian in Riyadh,966 50 003 2820, 15 -  100, Koshina Resturant,4.5 
Riyadh Saudi Arabia,,Riyadh,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,Riyadh Saudi Arabia,41,+ Add hours,16 of 47 Lebanese in Riyadh,,, Kababji,3.5 
7511 King Abdul Aziz Road Exit 5, Hay AL Nafl,Riyadh,"  , Barbecue, Portuguese, Halal", Barbecue,"7511 King Abdul Aziz Road Exit 5, Hay AL Nafl, Riyadh 133122222 Saudi Arabia",69,+ Add hours,17 of 30 Barbecue in Riyadh,966 11 454 4670,, Veri Peri,3.5 
Tahlia- Centria Center, Riyadh Saudi Arabia,Riyadh,", French", French,"Tahlia- Centria Center, Riyadh Saudi Arabia",48,+ Add hours,15 of 38 French in Riyadh,,, Le Notre,4.0 
Prince Turki Ibn Abdulaziz Al Awwal Rd, Hittin,Riyadh,", Chinese, Asian, Vegetarian Friendly", Chinese,"Prince Turki Ibn Abdulaziz Al Awwal Rd, Hittin,, Riyadh 13513 Saudi Arabia",23,Closed Now:See all hours,15 of 37 Chinese in Riyadh,966 55 744 4626,, Toki Restaurant,4.5 
3607 Prince Mohammad Bin Abdulaziz Rd, Riyadh Saudi Arabia,Riyadh,"  , Middle Eastern, Halal", Middle Eastern,"3607 Prince Mohammad Bin Abdulaziz Rd, Riyadh Saudi Arabia",88,Closed Now:See all hours,50 of 108 Middle Eastern in Riyadh,966 11 217 3456,, Bab Al Yemen,3.5 
Diplomatic Quarters, Riyadh Saudi Arabia,Riyadh,"  , Italian, Pizza, Vegetarian Friendly", Italian,"Diplomatic Quarters, Riyadh Saudi Arabia",26,+ Add hours,32 of 97 Italian in Riyadh,966 11 481 0569,, Scalini,4.0 
Qurtubah 2874 Ad 3928 Ad Dammam Branch Road, Riyadh 132456081 Saudi Arabia,Riyadh,"  , Seafood, American, Halal", Seafood,"Qurtubah 2874 Ad 3928 Ad Dammam Branch Road, Riyadh 132456081 Saudi Arabia",150,+ Add hours,37 of 100 American in Riyadh,,, Red Lobster,3.5 
Prince Mohammed Ibn Abdul Aziz Road Tahalia Street, west of King Fahad,Riyadh,"  , Lebanese, Seafood, Mediterranean", Lebanese,"Prince Mohammed Ibn Abdul Aziz Road Tahalia Street, west of King Fahad, Riyadh Saudi Arabia",35,+ Add hours,17 of 47 Lebanese in Riyadh,9664611333,, Al Sayad Seafood Place,4.0 
30, Prince Sultan Road,Riyadh,"  , Egyptian, Mediterranean", Egyptian,"30, Prince Sultan Road, Riyadh Saudi Arabia",9,Closed Now:See all hours,44 of 95 Mediterranean in Riyadh,966 58 181 2222,, Hamam Abdoh Restaurant,4.5 
Olaya District King Fahd Road Holiday Inn Riyadh - Al Qasr, Riyadh 11482 Saudi Arabia,Riyadh,"  , Seafood", Seafood,"Olaya District King Fahd Road Holiday Inn Riyadh - Al Qasr, Riyadh 11482 Saudi Arabia",17,+ Add hours,13 of 32 Seafood in Riyadh,966 11 462 5000,, Mozart Restaurant,4.0 
Al Ahmadi St. Taoun Block, Riyadh 12478 Saudi Arabia,Riyadh,"  , Turkish, Middle Eastern, Mediterranean", Turkish,"Al Ahmadi St. Taoun Block, Riyadh 12478 Saudi Arabia",37,+ Add hours,45 of 95 Mediterranean in Riyadh,966 11 410 1231,, Kosebasi,3.5 
Prince Mohammed Bin Abdulaziz Road, Riyadh Saudi Arabia,Riyadh,"Italian, Lebanese, Mediterranean, Grill", Lebanese,"Prince Mohammed Bin Abdulaziz Road, Riyadh Saudi Arabia",16,+ Add hours,33 of 97 Italian in Riyadh,,, Goodies Restaurant,4.0 
Al-Batha Commercial Center, Riyadh Saudi Arabia,Riyadh,", Asian, Indian, Halal", Asian,"Al-Batha Commercial Center, Riyadh Saudi Arabia",14,+ Add hours,25 of 69 Indian in Riyadh,966 11 401 2869,, Classic,4.5 
Al Jamea Street, Prince Fahd Ibn Ibrahim Al Saud Street,Riyadh,"  , Italian, Chinese, Indian", Italian,"Al Jamea Street, Prince Fahd Ibn Ibrahim Al Saud Street, Riyadh 12642 Saudi Arabia",9,+ Add hours,34 of 97 Italian in Riyadh,966 56 551 8624, 20 -  79, Unique Barbeque,4.5 
Riyadh Saudi Arabia,,Riyadh,"  , Italian, Mediterranean", Italian,Riyadh Saudi Arabia,11,Closed Now:See all hours,35 of 97 Italian in Riyadh,966 11 422 2244,, Fiamma,4.5 
King Abdulaziz Road, Riyadh 13312 Saudi Arabia,Riyadh,"  , Steakhouse, Turkish, Lebanese", Steakhouse,"King Abdulaziz Road, Riyadh 13312 Saudi Arabia",20,Closed Now:See all hours,23 of 33 Steakhouse in Riyadh,966 11 489 4117, 38 -  414, Beeves Burger & Steakhouse,4.0 
Northern Ring Branch Road, Riyadh 13512 Saudi Arabia,Riyadh,"  , French, Cafe, International", French,"Northern Ring Branch Road, Riyadh 13512 Saudi Arabia",10,+ Add hours,17 of 38 French in Riyadh,966 54 782 5856, 8 -  50, The Organic Cafe,4.5 
Holiday inn, Riyadh Saudi Arabia,Riyadh,"  , Indian, Asian, Vegetarian Friendly", Indian,"Holiday inn, Riyadh Saudi Arabia",19,+ Add hours,27 of 69 Indian in Riyadh,966 11 473 4203,, Sholay,4.0 
7004 Prince Mashari Ibn Abdulaziz, Riyadh 122424393 Saudi Arabia,Riyadh,"  , Indian", Indian,"7004 Prince Mashari Ibn Abdulaziz, Riyadh 122424393 Saudi Arabia",11,+ Add hours,28 of 69 Indian in Riyadh,966 9200 00557,, Crown Garden,4.5 
Olaya St, Riyadh 11491 Saudi Arabia,Riyadh,"  , Italian, European, Pizza", Italian,"Olaya St, Riyadh 11491 Saudi Arabia",18,Open Now:6:00 AM - 11:30 PM,36 of 97 Italian in Riyadh,966 11 273 2222, 75 -  94, Da Pino,4.0 
Riyadh 11351 Saudi Arabia,,Riyadh,", Indian, Asian, Vegetarian Friendly", Indian,Riyadh 11351 Saudi Arabia,21,+ Add hours,29 of 69 Indian in Riyadh,966 11 294 6300,, Where East Meets West,4.0 
An Nafal King Abdul Aziz Branch Road, Riyadh 13312 Saudi Arabia,Riyadh,"  , Asian", Asian,"An Nafal King Abdul Aziz Branch Road, Riyadh 13312 Saudi Arabia",13,+ Add hours,48 of 86 Asian in Riyadh,966 11 234 2652,, The Yellow Chilli,4.0 
Prince Sultan Street The District Al Faisaliah Mall - Mode Olaya Street, Riyadh 11433 Saudi Arabia,Riyadh,", Chinese, Asian", Chinese,"Prince Sultan Street The District Al Faisaliah Mall - Mode Olaya Street, Riyadh 11433 Saudi Arabia",6,+ Add hours,17 of 37 Chinese in Riyadh,966 9200 06555, 150 -  562, Yauatcha Riyadh,5.0 
Olaya, Thalateen st.,Riyadh,"  , Barbecue, International", Barbecue,"Olaya, Thalateen st., Riyadh Saudi Arabia",48,+ Add hours,25 of 79 International in Riyadh,966 11 462 3343,, bbq Chicken Restaurant,4.0 
King Muhammad V Tahlia, Palazzo Center,Riyadh,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"King Muhammad V Tahlia, Palazzo Center, Riyadh 12223 Saudi Arabia",27,Open Now:7:00 AM - 11:30 PM,20 of 47 Lebanese in Riyadh,966 53 245 4679,, Lamis,4.0 
3896 Prince Muqrin Ibn Abdulaziz Tamimi Plaza, Riyadh 12474 Saudi Arabia,Riyadh,"  , French, European", French,"3896 Prince Muqrin Ibn Abdulaziz Tamimi Plaza, Riyadh 12474 Saudi Arabia",13,Open Now:See all hours,18 of 38 French in Riyadh,966 11 810 4124,, Delicieuse Crepe,4.5 
Abdullah Al-Hamdan St., Riyadh 12222 Saudi Arabia,Riyadh,"Arabic, Vegetarian Friendly", Vegetarian Friendly,"Abdullah Al-Hamdan St., Riyadh 12222 Saudi Arabia",14,Open Now:6:00 AM - 12:00 AM,6 of 58 Arabic in Riyadh,966 11 463 4848,, Wadek,4.0 
34th Street, Riyadh Saudi Arabia,Riyadh,"  , Indian, Halal", Indian,"34th Street, Riyadh Saudi Arabia",49,Closed Now:See all hours,30 of 69 Indian in Riyadh,14626608,, Shezan Indian Restaurant,3.5 
Hanifa Valley Street Cross 90 St ,King Fahad Road,Riyadh,"  , Mediterranean, Middle Eastern, Lebanese", Mediterranean,"Hanifa Valley Street Cross 90 St ,King Fahad Road, Beside The Pancake House, Riyadh 13712 Saudi Arabia",56,Open Now:12:00 AM - 11:59 PM,21 of 47 Lebanese in Riyadh,966 50 947 7794,, Fairouz Garden,3.5 
Buraydah St. Khurais Rd. intersection, Riyadh Saudi Arabia,Riyadh,"  , Italian, Pizza, Vegetarian Friendly", Italian,"Buraydah St. Khurais Rd. intersection, Riyadh Saudi Arabia",120,+ Add hours,37 of 97 Italian in Riyadh,,, Forchetta,3.5 
Abi Bakr As Siddiq Branch Rd, Al Wadi,Riyadh,"  , Cafe", Cafe,"Abi Bakr As Siddiq Branch Rd, Al Wadi, Riyadh 13313 Saudi Arabia",13,Closed Now:See all hours,33 of 97 Cafe in Riyadh,966 11 321 3211, 10 -  200, Capio Diem,4.0 
Olaya street,Riyadh,Riyadh,", Lebanese, Middle Eastern, Fast Food", Lebanese,"Olaya street,Riyadh,Kingdom of Saudi Arabia, Riyadh Saudi Arabia",44,+ Add hours,22 of 47 Lebanese in Riyadh,966 11 462 8883,, Yamal asham,3.5 
King Fahad Road, Riyadh Saudi Arabia,Riyadh,"  , Pakistani, Asian", Pakistani,"King Fahad Road, Riyadh Saudi Arabia",15,+ Add hours,50 of 86 Asian in Riyadh,966 11 465 5666,, Spice Village,4.0 
Hilton Riyadh Hotel & Residences, Riyadh 13241 Saudi Arabia,Riyadh,", International, Mediterranean, Middle Eastern", International,"Hilton Riyadh Hotel & Residences, Riyadh 13241 Saudi Arabia",6,Open Now:6:30 AM - 12:00 AM,26 of 79 International in Riyadh,966 59 162 4969, 160 -  265, Teatro,4.5 
Prince Mamduh Ibn Abdulaziz Street As Sulimaniyah, Riyadh 21955 Saudi Arabia,Riyadh,"  , Pizza, Italian", Pizza,"Prince Mamduh Ibn Abdulaziz Street As Sulimaniyah, Riyadh 21955 Saudi Arabia",19,+ Add hours,38 of 97 Italian in Riyadh,966 9200 00910, 2 -  60, Pizza Hut,4.0 
King Fahad Road, Riyadh Saudi Arabia,Riyadh,"  , Chinese", Chinese,"King Fahad Road, Riyadh Saudi Arabia",15,+ Add hours,18 of 37 Chinese in Riyadh,,, Gulf Royal Chinese Restaurant,4.0 
3538 Prince Sultan Bin Abdulaziz Road, Riyadh Saudi Arabia,Riyadh,"  , Cafe, European", Cafe,"3538 Prince Sultan Bin Abdulaziz Road, Riyadh Saudi Arabia",9,+ Add hours,34 of 97 Cafe in Riyadh,966 55 076 9994,, Piedays,4.5 
Jarir Street Malaz, Riyadh 11623 Saudi Arabia,Riyadh,"  , Indian, Barbecue, Asian", Indian,"Jarir Street Malaz, Riyadh 11623 Saudi Arabia",32,Closed Now:See all hours,31 of 69 Indian in Riyadh,966 53 041 2988, 19 -  56, Indian Corner,4.0 
Said Ibn Zayd Rd Opposite Herfy, Riyadh 13244 Saudi Arabia,Riyadh,"  , Chinese, Indian", Chinese,"Said Ibn Zayd Rd Opposite Herfy, Riyadh 13244 Saudi Arabia",6,Closed Now:See all hours,19 of 37 Chinese in Riyadh,966 59 990 1110, 40 -  200, Golden Chimney Restaurant,5.0 
Ash Shaikh Abdullah al Anqari Street Salah Uddien Area, Riyadh Saudi Arabia,Riyadh,"  , Indian, Asian, Vegetarian Friendly", Indian,"Ash Shaikh Abdullah al Anqari Street Salah Uddien Area, Riyadh Saudi Arabia",28,+ Add hours,33 of 69 Indian in Riyadh,,, Indian Style,4.0 
266 Prince Mohamed Bin Abdul Aziz St Al Tahliya, Al Sulimania,Riyadh,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"266 Prince Mohamed Bin Abdul Aziz St Al Tahliya, Al Sulimania, Riyadh Saudi Arabia",95,+ Add hours,23 of 47 Lebanese in Riyadh,966 1 2791300,, Abdel Wahab,3.5 
2874 Prince Abdulaziz Ibn Musaid Ibn Jalawi St As Sulimaniyah, Riyadh Saudi Arabia,Riyadh,", Contemporary, Fusion, Middle Eastern", Contemporary,"2874 Prince Abdulaziz Ibn Musaid Ibn Jalawi St As Sulimaniyah, Riyadh Saudi Arabia",5,Closed Now:See all hours,3 of 10 Contemporary in Riyadh,966 55 040 2000, 150 -  350, Takya,5.0 
Thalateen Thakhassusi St. Al Olaya, Riyadh Saudi Arabia,Riyadh,"  , Barbecue, Middle Eastern, Egyptian", Barbecue,"Thalateen Thakhassusi St. Al Olaya, Riyadh Saudi Arabia",36,+ Add hours,22 of 30 Barbecue in Riyadh,966 11 464 1212,, Gad,4.0 
53, Al Hawwari,Riyadh,"  , Indian, Asian, Vegetarian Friendly", Indian,"53, Al Hawwari, Al Malaz, Riyadh 12812 Saudi Arabia",25,+ Add hours,34 of 69 Indian in Riyadh,966 50 259 9374,, Almas Indian Restaurant,4.0 
Prince Muhammad Ibn Saad Ibn Abdulaziz Rd Riyadh Park Mall, Riyadh Saudi Arabia,Riyadh,"  , Steakhouse, Contemporary, Barbecue", Steakhouse,"Prince Muhammad Ibn Saad Ibn Abdulaziz Rd Riyadh Park Mall, Riyadh Saudi Arabia",26,Closed Now:See all hours,40 of 100 American in Riyadh,966 11 290 2020,, Brisket,3.5 
King Abdul Aziz Road South, Riyadh Saudi Arabia,Riyadh,"  , Seafood, Middle Eastern, Mediterranean", Seafood,"King Abdul Aziz Road South, Riyadh Saudi Arabia",97,+ Add hours,14 of 32 Seafood in Riyadh,966 9200 00639,, Amo Hamza,3.5 
Hitteen Plaza Exit 2, Riyadh Saudi Arabia,Riyadh,"  , Italian, Pizza", Italian,"Hitteen Plaza Exit 2, Riyadh Saudi Arabia",11,Opens in 25 min:See all hours,39 of 97 Italian in Riyadh,966 9200 07199,, Oregano Pizzeria,4.0 
Panorama Mall , Takhassusi St,Riyadh,", French", French,"Panorama Mall , Takhassusi St, Riyadh 11672 Saudi Arabia",10,+ Add hours,20 of 38 French in Riyadh,966 11 288 5075, 8 -  411, Laduree Riyadh Panorama Mall,4.5 
Rubeen Plaza, Riyadh Saudi Arabia,Riyadh,"  , Arabic, Middle Eastern, Vegetarian Friendly", Arabic,"Rubeen Plaza, Riyadh Saudi Arabia",19,+ Add hours,63 of 108 Middle Eastern in Riyadh,, 70 -  100, Azkadenya KSA,3.5 
King Fahad Branch road, Riyadh Saudi Arabia,Riyadh,", Lebanese, Mediterranean, Armenian", Lebanese,"King Fahad Branch road, Riyadh Saudi Arabia",14,Closed Now:See all hours,24 of 47 Lebanese in Riyadh,966 53 109 9666,, Ekleel,4.5 
Al Hashimi Al Quds, Riyadh 13214 Saudi Arabia,Riyadh,", American", American,"Al Hashimi Al Quds, Riyadh 13214 Saudi Arabia",25,+ Add hours,41 of 100 American in Riyadh,966 1 415 2729,, Burger King,3.5 
Imam Saud bin Faisal Rd, Riyadh 13521 Saudi Arabia,Riyadh,"  , American", American,"Imam Saud bin Faisal Rd, Riyadh 13521 Saudi Arabia",12,Closed Now:See all hours,42 of 100 American in Riyadh,966 50 866 0741,, Tomahawk,4.0 
4376 Prince Muhammad Bin Abdulaziz Rd, Riyadh Saudi Arabia,Riyadh,"  , Japanese, Sushi, Asian", Japanese,"4376 Prince Muhammad Bin Abdulaziz Rd, Riyadh Saudi Arabia",29,+ Add hours,17 of 27 Japanese in Riyadh,966 9200 06514,, Sushi Art,3.5 
Musa Bin Nusir ST, Riyadh 11435 Saudi Arabia,Riyadh,"  , Seafood", Seafood,"Musa Bin Nusir ST, Riyadh 11435 Saudi Arabia",23,+ Add hours,15 of 32 Seafood in Riyadh,966 50 979 4999," 188 -  1,129", Amohamza,4.0 
King Saud Road, Al Wazarat District,Riyadh,"  , International", International,"King Saud Road, Al Wazarat District, Riyadh 11464 Saudi Arabia",8,Open Now:6:30 AM - 11:00 PM,27 of 79 International in Riyadh,966 11 477 9300,, Quick Bites,5.0 
Al Hamdan Street Near to Jazeera Shoping Market Sulaimania rd, Riyadh 11421 Saudi Arabia,Riyadh,"  , Chinese, Asian, Indian", Chinese,"Al Hamdan Street Near to Jazeera Shoping Market Sulaimania rd, Riyadh 11421 Saudi Arabia",19,Closed Now:See all hours,20 of 37 Chinese in Riyadh,(966)1120110179,, Gate of Jazeera Palace,4.0 
Tahliah Street, Riyadh Saudi Arabia,Riyadh,"Italian, French, American, European", French,"Tahliah Street, Riyadh Saudi Arabia",12,+ Add hours,40 of 97 Italian in Riyadh,,, Zero Four Restaurant,4.0 
intersection of eastern ring rd. with Makkah Kurais Rd., Riyadh Saudi Arabia,Riyadh,"  , Steakhouse, Turkish", Steakhouse,"intersection of eastern ring rd. with Makkah Kurais Rd., Riyadh Saudi Arabia",7,+ Add hours,25 of 33 Steakhouse in Riyadh,966 11 492 7049,, Sultani Steakhouse,4.5 
King Abdul-Aziz Road, Riyadh Saudi Arabia,Riyadh,"  , American", American,"King Abdul-Aziz Road, Riyadh Saudi Arabia",14,+ Add hours,44 of 100 American in Riyadh,966 9200 10176,, Mooyah,4.0 
